Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Stan Coveleski ,1969,14,1912,1928,0,60.7,215,142,0.602,2.89,450,385,52,224,38,21,"3,082",3055,1227,990,66,802,,981,30,1,35,12729
Waite Hoyt ,1969,21,1918,1938,0,48.4,237,182,0.566,3.59,674,425,171,226,26,52,"3,762.1",4037,1780,1500,154,1003,,1206,49,5,39,16010
Red Ruffing ,1967,22,1924,1947,6,48.6,273,225,0.548,3.8,624,538,69,335,45,16,"4,344",4284,2115,1833,254,1541,,1987,58,7,46,18546
Pud Galvin ,1965,15,1875,1892,0,78,365,310,0.541,2.85,705,688,19,646,57,2,"6,003.1",6405,3352,1903,121,745,,1807,61,2,221,25415
Tim Keefe ,1964,14,1880,1893,0,84,342,225,0.603,2.63,600,594,7,554,39,2,"5,049.2",4438,2470,1474,75,1233,,2564,98,0,240,20941
Monte Ward ,1964,17,1878,1894,0,26,164,103,0.614,2.1,293,262,32,245,24,3,"2,469.2",2324,1185,576,26,253,,920,,0,144,10164
Burleigh Grimes ,1964,19,1916,1934,0,44.2,270,212,0.56,3.53,616,497,94,314,35,18,"4,180",4412,2050,1638,148,1295,,1512,101,12,92,17974
Red Faber ,1964,20,1914,1933,0,61.9,254,213,0.544,3.15,669,483,134,273,29,28,"4,086.2",4106,1813,1430,111,1213,,1471,103,2,52,17104
John Clarkson ,1963,12,1882,1894,0,81.1,328,178,0.648,2.81,531,518,12,485,37,5,"4,536.1",4295,2384,1417,159,1191,,1978,80,0,182,19146
Eppa Rixey ,1963,21,1912,1933,0,53.4,266,251,0.515,3.15,692,554,97,290,37,14,"4,494.2",4633,1986,1572,93,1082,,1350,76,10,97,18754
Bob Feller ,1962,18,1936,1956,8,59.9,266,162,0.621,3.25,570,484,52,279,44,21,"3,827",3271,1557,1384,224,1764,6,2581,60,13,69,16180
Dazzy Vance ,1955,16,1915,1935,0,60.5,197,140,0.585,3.24,442,349,53,216,29,11,"2,966.2",2809,1246,1068,132,840,,2045,77,2,37,12366
Ted Lyons ,1955,21,1923,1946,1,60.7,260,230,0.531,3.67,594,484,92,356,27,23,"4,161",4489,2056,1696,222,1121,,1073,31,6,55,17797
Dizzy Dean ,1953,12,1930,1947,4,41.3,150,83,0.644,3.02,317,230,76,154,26,30,"1,967.1",1919,774,661,95,453,,1163,27,5,12,8171
Chief Bender ,1953,16,1903,1925,0,40.8,212,127,0.625,2.46,459,334,109,255,40,34,"3,017",2645,1108,823,40,712,,1711,102,10,79,11895
Mordecai Brown ,1949,14,1903,1916,0,51.7,239,130,0.648,2.06,481,332,138,271,55,49,"3,172.1",2708,1044,725,43,673,,1375,61,4,61,12422
Kid Nichols ,1949,15,1890,1906,0,111.6,361,208,0.634,2.96,621,562,56,532,48,17,"5,067.1",4929,2480,1664,156,1272,,1881,129,1,169,21082
Herb Pennock ,1948,22,1912,1934,0,38.8,241,162,0.598,3.6,617,419,135,247,35,33,"3,571.2",3900,1699,1428,128,916,,1227,36,6,65,15096
Carl Hubbell ,1947,16,1928,1943,9,65.3,253,154,0.622,2.98,535,433,82,260,36,33,"3,590.1",3461,1380,1188,227,725,,1677,53,1,53,14805
Lefty Grove ,1947,17,1925,1941,6,103.7,300,141,0.68,3.06,616,457,123,298,35,55,"3,940.2",3849,1594,1339,162,1187,,2266,42,1,51,16622
Joe McGinnity ,1946,10,1899,1908,0,57.2,246,142,0.634,2.66,465,381,73,314,32,24,"3,441.1",3276,1436,1016,52,812,,1068,179,4,30,14132
Jack Chesbro ,1946,11,1899,1909,0,38.6,198,132,0.6,2.68,392,332,52,260,35,5,"2,896.2",2647,1206,864,39,690,,1265,113,2,62,11632
Rube Waddell ,1946,13,1897,1910,0,57.7,193,143,0.574,2.16,407,340,54,261,50,5,"2,961.1",2460,1063,711,37,803,,2316,115,3,74,11717
Ed Walsh ,1946,14,1904,1917,0,59.5,195,126,0.607,1.82,430,315,103,250,57,35,"2,964.1",2346,873,598,23,617,,1736,52,9,76,11413
Eddie Plank ,1946,17,1901,1917,0,82,326,194,0.627,2.35,623,529,76,410,69,23,"4,495.2",3958,1566,1174,42,1072,,2246,190,6,88,17803
Clark Griffith ,1946,21,1891,1914,0,54,237,146,0.619,3.31,453,372,78,337,22,8,"3,385.2",3670,1852,1246,76,774,,955,171,3,66,14335
Candy Cummings ,1939,6,1872,1877,0,42.9,145,94,0.607,2.42,242,241,2,233,19,0,"2,149.2",2526,1450,579,12,113,,259,,0,67,9583
Al Spalding ,1939,8,1871,1878,0,58,252,65,0.795,2.13,347,325,31,279,24,13,"2,886.1",3280,1790,684,15,164,,248,,2,104,12724
Old Hoss Radbourn ,1939,12,1880,1891,0,69.1,309,194,0.614,2.68,527,502,24,488,35,3,"4,527.1",4328,2273,1347,117,875,,1830,54,0,214,18918
Pete Alexander ,1938,20,1911,1930,0,112.8,373,208,0.642,2.56,696,600,80,437,90,32,"5,190",4868,1852,1476,165,951,,2198,70,1,38,20893
Cy Young ,1937,22,1890,1911,0,162.3,511,316,0.618,2.63,906,815,84,749,76,17,"7,356",7092,3167,2147,138,1217,,2803,161,3,156,29565
Christy Mathewson ,1936,17,1900,1916,0,90.8,373,188,0.665,2.13,636,552,73,435,79,30,"4,788.2",4219,1620,1135,89,848,,2507,59,8,115,18913
Walter Johnson ,1936,21,1907,1927,0,144.7,417,279,0.599,2.17,802,666,127,531,110,34,"5,914.1",4913,1902,1424,97,1363,,3509,205,4,154,23405
Babe Ruth ,1936,22,1914,1935,2,19.1,94,46,0.671,2.28,163,147,12,107,17,4,"1,221.1",974,400,309,10,441,,488,29,4,25,4896
