GAME_ID,year_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RES_PIT_ID,RES_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,HOME_TEAM_ID,BAT_TEAM_ID,FLD_TEAM_ID,BAT_LAST_ID,INN_NEW_FL,INN_END_FL,START_BAT_SCORE_CT,START_FLD_SCORE_CT,INN_RUNS_CT,GAME_PA_CT,INN_PA_CT,PA_NEW_FL,PA_TRUNC_FL,START_BASES_CD,END_BASES_CD,BAT_START_FL,RESP_BAT_START_FL,BAT_ON_DECK_ID,BAT_IN_HOLD_ID,PIT_START_FL,RESP_PIT_START_FL,RUN1_FLD_CD,RUN1_LINEUP_CD,RUN1_ORIGIN_EVENT_ID,RUN2_FLD_CD,RUN2_LINEUP_CD,RUN2_ORIGIN_EVENT_ID,RUN3_FLD_CD,RUN3_LINEUP_CD,RUN3_ORIGIN_EVENT_ID,RUN1_RESP_CAT_ID,RUN2_RESP_CAT_ID,RUN3_RESP_CAT_ID,PA_BALL_CT,PA_CALLED_BALL_CT,PA_INTENT_BALL_CT,PA_PITCHOUT_BALL_CT,PA_HITBATTER_BALL_CT,PA_OTHER_BALL_CT,PA_STRIKE_CT,PA_CALLED_STRIKE_CT,PA_SWINGMISS_STRIKE_CT,PA_FOUL_STRIKE_CT,PA_INPLAY_STRIKE_CT,PA_OTHER_STRIKE_CT,EVENT_RUNS_CT,FLD_ID,BASE2_FORCE_FL,BASE3_FORCE_FL,BASE4_FORCE_FL,BAT_SAFE_ERR_FL,BAT_FATE_ID,RUN1_FATE_ID,RUN2_FATE_ID,RUN3_FATE_ID,FATE_RUNS_CT,ASS6_FLD_CD,ASS7_FLD_CD,ASS8_FLD_CD,ASS9_FLD_CD,ASS10_FLD_CD,UNKNOWN_OUT_EXC_FL,UNCERTAIN_PLAY_EXC_FL
ANA201304140,2013,HOU,7,1,2,0,0,1X,1,2,bourp001,R,bourp001,R,humbp001,R,humbp001,R,corpc001,penac001,altuj001,domim001,ceder002,martj006,maxwj002,barnb002,romia001,,,53/BG,F,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,5,G,T,F,,0,0,N,0,N,0,N,0,1,0,0,53,,,,F,F,F,F,F,F,F,F,F,humbp001,,,F,F,F,F,F,,,,,0,3,0,0,5,0,0,0,0,57,ANA,ANA,HOU,1,F,T,2,1,0,27,3,T,F,1,1,T,T,troum001,pujoa001,T,T,6,9,56,0,0,0,0,0,0,corpc001,,,0,0,0,0,0,0,1,0,0,0,1,0,0,domim001,F,F,F,F,0,1,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,0,0,1,2,.FBCX,1,2,martj006,R,martj006,R,downs001,L,downs001,L,congh001,trumm001,kendh001,jimel002,romia001,troum001,bourp001,hamij003,,,,63/G,T,F,7,3,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,63,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,58,ANA,HOU,ANA,0,T,F,1,2,0,29,0,T,F,0,0,T,T,cartc002,penac001,F,F,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,3,1,0,1,1,0,0,romia001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,0,1,3,2,CBBSBB,1,2,cartc002,R,cartc002,R,downs001,L,downs001,L,congh001,trumm001,kendh001,jimel002,romia001,troum001,bourp001,hamij003,,,,W,F,F,10,4,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,59,ANA,HOU,ANA,0,F,F,1,2,0,30,1,T,F,0,1,T,T,penac001,corpc001,F,F,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,2,1,1,0,0,0,0,,F,F,F,F,2,0,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,0,1,2,2,BSBSS,1,2,penac001,L,penac001,L,downs001,L,downs001,L,congh001,trumm001,kendh001,jimel002,romia001,troum001,bourp001,hamij003,cartc002,,,K,F,F,3,5,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,0,0,2,,,,F,F,F,F,F,F,F,F,F,downs001,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,60,ANA,HOU,ANA,0,F,F,1,2,0,31,2,T,F,1,1,T,T,corpc001,ceder002,F,F,10,4,59,0,0,0,0,0,0,congh001,,,2,2,0,0,0,0,3,0,3,0,0,0,0,,F,F,F,F,0,2,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,0,2,1,2,SFFBX,1,2,corpc001,R,corpc001,R,downs001,L,downs001,L,congh001,trumm001,kendh001,jimel002,romia001,troum001,bourp001,hamij003,cartc002,,,S7/L.1-2,F,F,2,6,20,T,T,1,F,F,0,F,F,0,F,F,7,L,F,F,,0,0,N,0,N,0,N,1,2,0,0,,,,,F,F,F,F,F,F,F,F,F,downs001,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,61,ANA,HOU,ANA,0,F,F,1,2,0,32,3,T,F,1,3,T,T,ceder002,domim001,F,F,10,4,59,0,0,0,0,0,0,congh001,,,1,1,0,0,0,0,4,0,1,2,1,0,0,troum001,F,F,F,F,1,2,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,0,2,3,2,..BBCBS.>S,1,2,castj006,L,castj006,L,friee001,R,friee001,R,congh001,trumm001,kendh001,jimel002,romia001,troum001,bourp001,hamij003,gonzm002,cartc002,,K,F,T,11,7,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,0,2,,,,F,F,F,F,F,F,F,F,F,downs001,downs001,,F,F,T,F,F,corpc001,,,ceder002,6,2,0,0,0,0,0,0,0,62,ANA,HOU,ANA,0,F,T,1,2,0,33,4,T,F,3,3,F,F,domim001,barnb002,F,F,12,6,61,10,4,59,0,0,0,congh001,congh001,,3,3,0,0,0,0,3,1,2,0,0,0,0,,F,F,F,F,0,1,2,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,1,0,3,2,...BBFFBB,1,2,troum001,R,troum001,R,cruzr001,R,cruzr001,R,castj006,penac001,altuj001,domim001,gonzm002,martj006,maxwj002,barnb002,,,,W,T,F,7,2,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,63,ANA,ANA,HOU,1,T,F,2,1,0,28,0,T,F,0,1,T,T,pujoa001,hamij003,F,F,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,2,0,0,2,0,0,0,,F,F,F,F,4,0,0,0,2,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,1,0,1,1,B>F1X,1,2,pujoa001,R,pujoa001,R,cruzr001,R,cruzr001,R,castj006,penac001,altuj001,domim001,gonzm002,martj006,maxwj002,barnb002,troum001,,,8/F,F,F,10,3,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,1,0,0,8,,,,F,F,F,F,F,F,F,F,F,cruzr001,,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,64,ANA,ANA,HOU,1,F,F,2,1,0,29,1,T,F,1,1,T,T,hamij003,trumm001,F,F,7,2,63,0,0,0,0,0,0,castj006,,,1,1,0,0,0,0,2,0,0,1,1,0,0,maxwj002,F,F,F,F,0,4,0,0,2,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,1,1,2,1,1B1FBX,1,2,hamij003,L,hamij003,L,cruzr001,R,cruzr001,R,castj006,penac001,altuj001,domim001,gonzm002,martj006,maxwj002,barnb002,troum001,,,HR/78/F.1-H,F,F,9,4,23,T,T,4,F,F,0,F,F,2,F,F,0,F,F,F,78,0,0,N,0,N,0,N,4,4,0,0,,,,,F,F,F,F,F,F,F,F,F,cruzr001,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,65,ANA,ANA,HOU,1,F,F,2,1,0,30,2,T,F,1,0,T,T,trumm001,kendh001,F,F,7,2,63,0,0,0,0,0,0,castj006,,,2,2,0,0,0,0,2,0,0,1,1,0,2,,F,F,F,F,4,4,0,0,0,0,0,0,0,0,F,F
ANA201304140,2013,HOU,8,1,1,0,0,X,1,4,trumm001,R,trumm001,R,cruzr001,R,cruzr001,R,castj006,penac001,altuj001,domim001,gonzm002,martj006,maxwj002,barnb002,,,,53/G,F,F,3,5,2,T,T,0,F,F,1,F,F,0,F,F,5,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,53,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,5,0,0,0,0,66,ANA,ANA,HOU,1,F,F,4,1,2,31,3,T,F,0,0,T,T,kendh001,congh001,F,F,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,domim001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
